id,dataset,k=2,k=3,k=4,hedges
153,sat_k2fix_p,1665.0,3941.0,8398.0,305160
154,sat_manol_c10_i_d,3188.0,7028.0,6923.0,252516
155,sat_manol_c10_i,18083.0,19191.0,38875.0,750877
156,sat_manol_c10_i_p,15886.0,20963.0,23656.0,750877
157,sat_manol_c10_d,12947.0,10989.0,20809.0,433601
158,sat_manol_c10,23628.0,51400.0,52297.0,1291714
159,sat_manol_c10_p,18723.0,30595.0,37810.0,1291714
160,sat_manol_c8_d,5203.0,8054.0,11666.0,269048
161,sat_manol_c8,19702.0,29123.0,37283.0,799867
162,sat_manol_c8_p,14247.0,23696.0,32742.0,799867
163,sat_manol_g10_i_d,4467.0,7994.0,9522.0,266405
164,sat_manol_g10_i,14647.0,18216.0,23140.0,792175
165,sat_manol_g10_i_p,15003.0,20816.0,29577.0,792175
166,sat_MD5-28-1_d,1200.0,2059.0,2436.0,8282
167,sat_MD5-28-1,4322.0,7832.0,9228.0,62558
168,sat_MD5-28-1_p,5009.0,7693.0,9760.0,62558
169,sat_MD5-28-2_d,1274.0,1945.0,2562.0,8281
170,sat_MD5-28-2,4843.0,8296.0,9670.0,62554
171,sat_MD5-28-2_p,4335.0,7993.0,10188.0,62554
172,sat_MD5-28-4_d,1192.0,2129.0,2447.0,8281
173,sat_MD5-28-4,4938.0,8086.0,9919.0,62544
174,sat_MD5-28-4_p,4584.0,7468.0,9877.0,62544
175,sat_MD5-29-4_d,1333.0,2112.0,2713.0,8590
176,sat_MD5-29-4,5236.0,8985.0,10731.0,65312
177,sat_MD5-29-4_p,4908.0,8637.0,10272.0,65312
178,sat_MD5-30-4_d,1286.0,2186.0,2640.0,8905
179,sat_MD5-30-4,5729.0,8975.0,11145.0,68106
180,sat_MD5-30-4_p,5269.0,8263.0,11478.0,68106
181,sat_MD5-30-5_d,1368.0,2462.0,2579.0,8905
182,sat_MD5-30-5,5562.0,9757.0,11724.0,68103
183,sat_MD5-30-5_p,4647.0,8984.0,10374.0,68103
184,sat_min_d,2450.0,9103.0,12342.0,249327
185,sat_min,4353.0,30339.0,40226.0,746444
186,sat_min_p,3444.0,39994.0,49670.0,746444
187,sat_p30_d,3934.0,6396.0,9266.0,324116
188,sat_p30,9572.0,19210.0,21837.0,1643601
189,sat_p30_p,19608.0,24587.0,36570.0,1643601
190,sat_p30_NOT_d,3322.0,6301.0,6740.0,95456
191,sat_p30_NOT,4970.0,11027.0,12501.0,483561
192,sat_p30_NOT_p,8724.0,17046.0,17910.0,483561
193,sat_non_p30_d,3934.0,6396.0,9266.0,324116
194,sat_non_p30,9572.0,19210.0,21837.0,1643601
195,sat_non_p30_p,19608.0,24587.0,36570.0,1643601
196,sat_post_d,3118.0,2985.0,5721.0,276895
197,sat_post,6388.0,3511.0,8138.0,1607567
198,sat_post_p,1983.0,7849.0,10492.0,1607567
199,sat_post-ee_d,1129.0,5256.0,3035.0,266199
200,sat_post-ee,4820.0,4577.0,6462.0,1575975
201,sat_post-ee_p,3935.0,6370.0,11919.0,1575975
202,sat_L100_d,34018.0,52574.0,66747.0,315617
203,sat_L100,73400.0,98950.0,168255.0,1522583
204,sat_L100_p,76911.0,162373.0,181528.0,1522583
205,sat_L150_d,51562.0,82563.0,96734.0,486992
206,sat_L150,121874.0,222885.0,291730.0,2456708
207,sat_L150_p,148523.0,281789.0,352429.0,2456708
208,sat_L200_d,72996.0,125713.0,152427.0,670867
209,sat_L200,231057.0,308544.0,400511.0,3513333
210,sat_L200_p,164349.0,299656.0,453840.0,3513333
211,sat_L80_d,32187.0,57580.0,55616.0,250567
212,sat_L80,87411.0,99168.0,175580.0,1183233
213,sat_L80_p,61474.0,124833.0,143099.0,1183233
214,sat_k100_1d,1419.0,2820.0,4401.0,1621762
215,sat_k100_1,5508.0,9473.0,9991.0,6356704
216,sat_k100_1p,4462.0,7515.0,17414.0,6356704
217,sat_k100_2d,725.0,3241.0,4004.0,1621756
218,sat_k100_2,4987.0,8011.0,9722.0,6356692
219,sat_k100_2p,4801.0,6662.0,6606.0,6356692
220,sat_k70_d,753.0,2327.0,4711.0,1131652
221,sat_k70,5316.0,9738.0,13687.0,4433524
222,sat_k70_p,2897.0,11888.0,11059.0,4433524
223,sat_k75_d,1289.0,2166.0,3119.0,1213331
224,sat_k75,2013.0,6658.0,8054.0,4754042
225,sat_k75_p,2693.0,5202.0,15216.0,4754042
226,sat_k80_d,736.0,3923.0,2581.0,1295022
227,sat_k80,5041.0,7576.0,13476.0,5074584
228,sat_k80_p,10855.0,11627.0,16341.0,5074584
229,sat_k85_2d,2063.0,3860.0,4190.0,1376701
230,sat_k85_2,5024.0,4844.0,13802.0,5395102
231,sat_k85_2p,3014.0,9046.0,11013.0,5395102
232,sat_k85_3d,2063.0,3860.0,4190.0,1376701
233,sat_k85_3,5024.0,4844.0,13802.0,5395102
234,sat_k85_3p,3014.0,9046.0,11013.0,5395102
235,sat_k90_d,1416.0,4517.0,3904.0,1458392
236,sat_k90,1548.0,3739.0,15431.0,5715644
237,sat_k90_p,4381.0,4449.0,10069.0,5715644
238,sat_k95_d,901.0,2994.0,4915.0,1540071
239,sat_k95,6761.0,10679.0,15333.0,6036162
240,sat_k95_p,6595.0,9634.0,15663.0,6036162
241,sat_slp_d,3298.0,6439.0,10169.0,94998
242,sat_slp,5464.0,10630.0,23264.0,302862
243,sat_slp_p,7494.0,11827.0,21536.0,302862
244,sat_030_d,5362.0,16678.0,20629.0,361750
245,sat_030,14025.0,27727.0,46071.0,1934720
246,sat_030_p,15606.0,62038.0,48922.0,1934720
247,sat_050_d,5304.0,16054.0,17713.0,602670
248,sat_050,13197.0,53825.0,55293.0,3224280
249,sat_050_p,73396.0,78879.0,110509.0,3224280
250,sat_UCG-10p0_d,2102.0,4447.0,6132.0,199304
251,sat_UCG-10p0,18806.0,28068.0,27988.0,1005834
252,sat_UCG-10p0_p,21320.0,28981.0,36278.0,1005834
253,sat_UCG-10p1_d,1880.0,6905.0,7129.0,200003
254,sat_UCG-10p1,14758.0,17971.0,25610.0,1019221
255,sat_UCG-10p1_p,20753.0,27633.0,33915.0,1019221
256,sat_UCG-5p0_d,3393.0,7402.0,8804.0,224587
257,sat_UCG-5p0,19662.0,27775.0,30402.0,1190673
258,sat_UCG-5p0_p,22674.0,36088.0,40154.0,1190673
259,sat_UR-15_d,3472.0,6472.0,9004.0,199996
260,sat_UR-15,17086.0,27978.0,31493.0,1019200
261,sat_UR-15_p,24572.0,30346.0,40079.0,1019200
262,sat_UR-20_d,4494.0,9252.0,12704.0,224569
263,sat_UR-20,19853.0,30947.0,30737.0,1190619
264,sat_UR-20_p,27153.0,32669.0,41398.0,1190619
265,sat_UTI_d,531.0,1770.0,1383.0,260342
266,sat_UTI,2429.0,5711.0,7619.0,1391257
267,sat_UTI_p,5909.0,7133.0,9780.0,1391257
268,sat_2.0_d,27639.0,33091.0,43808.0,151669
269,sat_2.0,81775.0,279655.0,322033.0,2465731
270,sat_2.0_p,127981.0,346305.0,343954.0,2465731
271,sat_4.0-9_d,13801.0,26287.0,49314.0,96177
272,sat_4.0-9,102235.0,214661.0,201494.0,1814189
273,sat_4.0-9_p,145455.0,264992.0,387182.0,1814189
274,192bit,12787.0,20011.0,25673.0,13691
275,2cubes,4210.0,11180.0,16267.0,101492
276,2D,2328.0,3629.0,3787.0,54019
277,3D,29313.0,58450.0,80138.0,292008
278,ABACUS,328.0,791.0,1069.0,23412
279,af23560,1018.0,2744.0,3254.0,23560
280,af_shell,4065.0,6550.0,8445.0,504855
281,airfoil,715.0,671.0,1418.0,14214
282,Andrews,7332.0,11897.0,14143.0,60000
283,appu,13983.0,27984.0,41943.0,14000
284,as-22,1257.0,1910.0,2766.0,22963
285,astro,4174.0,8817.0,11735.0,16046
286,atmos,54467.0,80436.0,74990.0,1270432
287,av41092,4696.0,6062.0,7924.0,41092
288,barrier,11113.0,18206.0,22757.0,113076
289,Baumann,2909.0,7783.0,9459.0,112211
290,bayer04,127.0,209.0,263.0,20545
291,bbmat,2088.0,4485.0,5022.0,38744
292,bcsstk,754.0,1150.0,2546.0,13992
293,Ben,2796.0,6984.0,8052.0,245874
294,bibd,1003.0,1825.0,2596.0,1176
295,bips,294.0,338.0,542.0,15066
296,bloweya,6590.0,9679.0,10605.0,30004
297,bundle,3677.0,4379.0,6011.0,10581
298,c-55,7101.0,12468.0,14580.0,32780
299,c-61,5959.0,7075.0,10147.0,43618
300,c-64,4547.0,6558.0,15961.0,51035
301,CondMat,5157.0,10105.0,12714.0,23133
302,cage10,2491.0,5405.0,6838.0,11397
303,ccc,621.0,6084.0,8095.0,49152
304,cfd,3370.0,6330.0,7674.0,70656
305,Chem97Zt,61.0,41.0,63.0,2541
306,circuit,1958.0,2902.0,3632.0,12127
307,ckt,186.0,623.0,987.0,49702
308,cnr,57.0,431.0,438.0,247501
309,conf5_4,0.0,9987.0,16110.0,49152
310,copter,1156.0,2770.0,3899.0,17222
311,coupled,2549.0,3549.0,5410.0,11341
312,crash,4284.0,13626.0,8210.0,160000
313,cryg,822.0,453.0,1082.0,10000
314,crystk,2460.0,3999.0,6141.0,13965
315,d_pretok,3789.0,8974.0,9012.0,182730
316,dac11,2541.0,4622.0,8995.0,935731
317,dac14,23141.0,29506.0,32047.0,619815
318,dac16,18496.0,20658.0,25006.0,697458
319,dac2,8961.0,17154.0,19892.0,990899
320,dac3,6381.0,12783.0,18732.0,898001
321,dac6,15202.0,19081.0,23194.0,1006629
322,dac7,2665.0,5407.0,12140.0,1340418
323,delta,1210.0,3914.0,6934.0,68600
324,denormal,1272.0,2874.0,3499.0,89400
325,dict,0.0,962.0,3192.0,39327
326,diel,20368.0,12130.0,35472.0,607232
327,cova2,1217.0,2735.0,4194.0,65025
328,ecl32,2045.0,5609.0,5875.0,51993
329,Emilia,33303.0,61950.0,88569.0,923136
330,epb1,340.0,638.0,1109.0,14734
331,ESOC,171727.0,293318.0,398410.0,327062
332,Eternity,6814.0,11852.0,18541.0,7362
333,ex19,0.0,243.0,360.0,12005
334,F2,5954.0,4326.0,14843.0,71505
335,fd18,772.0,1020.0,1165.0,16428
336,fem,5771.0,8058.0,13735.0,74062
337,finan,156.0,508.0,708.0,74752
338,flower,5586.0,9687.0,13902.0,27693
339,foldoc,7311.0,13345.0,17106.0,13356
340,Franz,25297.0,49044.0,57412.0,47104
341,G2,3500.0,3467.0,5732.0,150102
342,g7jac,1387.0,2124.0,2315.0,11790
343,garon,818.0,1298.0,1809.0,13535
344,gearbox,2803.0,4481.0,8846.0,153746
345,gemat,756.0,878.0,990.0,4929
346,graphics,585.0,1032.0,1704.0,29493
347,gyro,321.0,426.0,1032.0,17361
348,H2O,15029.0,27286.0,44506.0,67024
349,HEP,4704.0,11993.0,15298.0,24541
350,HTC,1983.0,8542.0,16291.0,226340
351,hvdc1,113.0,285.0,477.0,24842
352,IG5,3158.0,4021.0,21532.0,30162
353,Ill,1622.0,2935.0,3454.0,20896
354,interp,5050.0,5074.0,6683.0,232485
355,IMDB,28488.0,73677.0,71961.0,303617
356,ibm01,346.0,596.0,859.0,14111
357,ibm02,1122.0,1396.0,1956.0,19584
358,ibm03,1568.0,2630.0,3270.0,27401
359,ibm04,755.0,1851.0,3010.0,31970
360,ibm05,2702.0,5738.0,7148.0,28446
361,ibm06,1758.0,3699.0,4146.0,34826
362,ibm07,1942.0,3065.0,4006.0,48117
363,ibm08,2236.0,4961.0,5187.0,50513
364,ibm09,1136.0,2101.0,3740.0,60902
365,ibm10,2620.0,2847.0,5023.0,75196
366,ibm11,1447.0,2917.0,4866.0,81454
367,ibm12,4367.0,4553.0,6998.0,77240
368,ibm13,1860.0,2927.0,3324.0,99666
369,ibm14,3099.0,5757.0,7204.0,152772
370,ibm15,3981.0,10255.0,8365.0,186608
371,ibm16,5512.0,6246.0,8746.0,190048
372,kim1,1599.0,2836.0,4582.0,38415
373,kkt,19852.0,32810.0,58133.0,2063494
374,duct3D,6182.0,8212.0,13624.0,67173
375,lhr14,174.0,570.0,485.0,14270
376,li,4418.0,7864.0,13344.0,22695
377,tissue,2048.0,1320.0,2876.0,29282
378,Lin,23462.0,27688.0,37088.0,256000
379,lp_nug,12825.0,24958.0,33175.0,15240
380,lp_pds,2454.0,4230.0,5305.0,33798
381,lung,54.0,93.0,108.0,109460
382,m14b,4688.0,9346.0,12895.0,214765
383,mac,777.0,1442.0,1723.0,206500
384,Maragal,2743.0,4911.0,6334.0,21251
385,mc2depi,3150.0,11084.0,8877.0,525825
386,mixtank,4606.0,12718.0,13532.0,29957
387,mono,11911.0,18382.0,33099.0,169410
388,mri1,708.0,1194.0,1807.0,65536
389,msc,2151.0,4143.0,5817.0,10848
390,msdoor,2324.0,4837.0,7742.0,415863
391,mult_dcop,15056.0,24907.0,29215.0,25187
392,nasasrb,1050.0,2622.0,3232.0,54870
393,nd12k,14193.0,29776.0,38449.0,36000
394,net100,17473.0,35190.0,47405.0,29920
395,nopoly,102.0,164.0,282.0,10774
396,actors,12372.0,26511.0,28113.0,383640
397,www,13.0,1160.0,732.0,137941
398,obstclae,1980.0,2234.0,2473.0,40000
399,olafu,1029.0,2164.0,2601.0,16146
400,opt1,2743.0,6416.0,7180.0,15449
401,Oregon,713.0,1223.0,1520.0,11174
402,p2p,3767.0,6925.0,9286.0,6221
403,para,12158.0,18113.0,28703.0,153226
404,parabolic,1333.0,5953.0,5052.0,525825
405,Pd,0.0,0.0,0.0,4371
406,pdb,2940.0,5795.0,6977.0,36417
407,pds,1840.0,6160.0,8483.0,142596
408,pesa,186.0,417.0,471.0,11738
409,PGP,744.0,921.0,1604.0,10680
410,pkustk,3918.0,7746.0,11862.0,87804
411,poisson3D,5487.0,14512.0,17453.0,85623
412,poli3,170.0,292.0,525.0,16955
413,powersim,92.0,164.0,296.0,15838
414,pre2,10869.0,20926.0,34750.0,659033
415,Pres,1056.0,1560.0,2228.0,14822
416,psse2,530.0,374.0,624.0,28634
417,qa8fk,968.0,5360.0,8922.0,66127
418,rajat,40.0,364.0,327.0,51032
419,Reuters,5794.0,10164.0,14296.0,13314
420,RFdevice,2158.0,6104.0,5093.0,74104
421,rgg,1584.0,2525.0,3422.0,262141
422,rim,544.0,853.0,1509.0,22560
423,rma,1190.0,1361.0,3073.0,46835
424,Rucci,58850.0,77658.0,102120.0,1977885
425,s4dkt,5430.0,4560.0,7902.0,90449
426,scfxm,1105.0,1566.0,1867.0,37980
427,scircuit,213.0,463.0,879.0,170998
428,shallow,794.0,1753.0,2583.0,81920
429,sherman,7288.0,10222.0,15688.0,18510
430,ship,3120.0,2772.0,7518.0,34920
431,shock,274.0,1033.0,1100.0,36476
432,shyy,350.0,330.0,2761.0,76480
433,skirt,60.0,190.0,110.0,12598
434,sme3D,5001.0,4536.0,10995.0,29067
435,soc-sign,1465.0,11124.0,12296.0,95318
436,sparsine,20615.0,43836.0,58937.0,50000
437,spmsrtls,1222.0,1688.0,2510.0,29995
438,std1_Jac3,5132.0,7070.0,10393.0,21982
439,stokes,1306.0,3554.0,3115.0,49666
440,ted_A,324.0,979.0,986.0,10605
441,TF16,5456.0,12111.0,17651.0,15437
442,thermal,458.0,613.0,1215.0,82654
443,therm,338.0,1004.0,1483.0,102158
444,tmt,2430.0,9643.0,7084.0,917825
445,tomogra,3946.0,9259.0,9532.0,45908
446,torso,9549.0,16370.0,20195.0,259156
447,Trec,3126.0,0.0,0.0,3159
448,Trefe,17867.0,36640.0,48429.0,20000
449,TSOPF,14565.0,17207.0,27709.0,30798
450,us04,150.0,292.0,440.0,163
451,usroads,220.0,433.0,553.0,129164
452,venkat,1008.0,1816.0,2160.0,62424
453,vibro,3914.0,8158.0,9798.0,12328
454,plastic,1763.0,4111.0,5156.0,32769
455,rocks,624.0,2476.0,3074.0,37762
456,wave3D,329.0,1125.0,1901.0,21036
457,wathen120,666.0,1401.0,2762.0,36441
458,water,4883.0,8074.0,11115.0,60740
459,wang4,2637.0,3410.0,5731.0,26068
460,xenon,4456.0,8532.0,11910.0,157464
461,Zhao,1858.0,2031.0,3271.0,33861
462,G67,463.0,482.0,907.0,10000
463,af101,7555.0,12435.0,14710.0,503625
464,eco1,12769.0,12698.0,20947.0,1000000
465,ibm18,4277.0,6897.0,7223.0,201920
466,ibm17,3130.0,9149.0,9404.0,189581
467,web1M,624.0,3640.0,3137.0,1000005
468,nl120,163619.0,226180.0,331965.0,3542400
469,sat_p,409205.0,1783509.0,1839060.0,13378010
470,wbedu,14097.0,88573.0,84376.0,6920306
471,Stanf,420.0,313.0,1117.0,261588
472,gene2,13538.0,25111.0,40135.0,14340
473,Hamr3,5870.0,7677.0,16363.0,1447360
474,StocF,7992.0,53204.0,18299.0,1465137
475,lang,35816.0,50636.0,56578.0,399130
476,kron,23448.0,46679.0,64475.0,55321
477,case39,21585.0,29355.0,41702.0,40216
478,dac9,5174.0,7348.0,10107.0,833808
479,dac12,15286.0,26113.0,21385.0,1293436
480,dac19,3273.0,10874.0,12304.0,511685
481,tran4,70442.0,102461.0,132651.0,116835
482,Cheb4,16457.0,18107.0,22149.0,68121
483,sat_d,116709.0,82573.0,194930.0,521147
484,HV15R,156657.0,193002.0,316456.0,2017169
485,gupta2,18906.0,39964.0,57607.0,62064
486,ASIC,346057.0,610304.0,644195.0,682862
487,ASIC320k,193362.0,336301.0,388631.0,321821
488,wiki-Talk,15309.0,20358.0,31438.0,147602
489,com-Youtube,86986.0,158782.0,225188.0,1134890
490,Freescal,4687.0,5962.0,7340.0,3428755
491,roadNet-CA,1531.0,2319.0,2219.0,1965206
492,delaunay23,9679.0,17704.0,21458.0,8388608
493,coPapersDBLP,220407.0,386690.0,566546.0,540486
494,dc1,70442.0,102461.0,132651.0,116835
495,channel,58621.0,166105.0,142254.0,4802000
496,as-Skitter,224486.0,394344.0,467563.0,1696415
497,ASIC_100k,50699.0,84464.0,105272.0,99340
498,dc2,70442.0,102461.0,132651.0,116835
499,tran5,70442.0,102461.0,132651.0,116835
