id,dataset,hedges,k=2,k=3,k=4,
110,sat_c10,267996,9756,14370,22558,
111,sat_c10_p,133998,20686,21820,29584,
112,sat_count_d,55724,165,317,679,
113,sat_count,37213,1131,812,2214,
114,sat_count_p,18607,1149,2047,2282,
115,sat_ctl_d,90812,1596,1080,3540,
116,sat_ctl,17612,558,344,3668,
117,sat_ctl_p,8806,196,1114,20513,
118,sat_ctl_5_d,134756,4052,6194,9451,
119,sat_ctl_5,30464,5096,10346,12531,
120,sat_ctl_5_p,15232,6075,14200,13144,
121,sat_dated_11_d,629461,3743,7774,8928,
122,sat_dated_11,283720,11485,17421,19004,
123,sat_dated_11_p,141860,16534,21561,25899,
124,sat_dated_17_d,1070757,7233,11827,14890,
125,sat_dated_17,459088,20591,26722,29575,
126,sat_dated_17_p,229544,27142,32739,41391,
127,sat_E02F20_d,395383,1297,2135,2237,
128,sat_E02F20,20840,190,4849,9502,
129,sat_E02F20_p,10420,709,10405,11273,
130,sat_E02F22_d,1301188,1863,2864,3315,
131,sat_E02F22,27148,243,7721,15307,
132,sat_E02F22_p,13574,253,14070,17030,
133,sat_gss-18_d,94269,547,646,993,
134,sat_gss-18,62728,2083,3720,3520,
135,sat_gss-18_p,31364,3025,3768,4422,
136,sat_gss-19_d,94548,549,737,891,
137,sat_gss-19,62870,1959,3259,3693,
138,sat_gss-19_p,31435,2221,3185,4049,
139,sat_gss-20_d,94748,522,629,951,
140,sat_gss-20,63006,1787,3100,3994,
141,sat_gss-20_p,31503,1925,3401,4267,
142,sat_gss-22_d,95110,495,755,753,
143,sat_gss-22,63232,1883,3326,3990,
144,sat_gss-22_p,31616,2284,3999,4011,
145,sat_k45_d,488120,183,945,1094,
146,sat_k45,327243,1089,1285,2354,
147,sat_k45_p,163622,1165,1427,2331,
148,sat_itox_d,441729,90,2101,2452,
149,sat_itox,294326,1812,4141,6148,
150,sat_itox_p,152256,254,2371,3399,
151,sat_k2fix_d,305160,5835,10696,15553,
152,sat_k2fix,22617,0,40,197,
153,sat_k2fix_p,11313,1665,3722,8630,
154,sat_manol_c10_i_d,750877,4266,6892,10742,
155,sat_manol_c10_i,505032,18057,20021,32258,
156,sat_manol_c10_i_p,252516,15886,20963,33227,
157,sat_manol_c10_d,1291714,4364,13036,9779,
158,sat_manol_c10,867202,23743,34883,50907,
159,sat_manol_c10_p,433601,22805,30832,42363,
160,sat_manol_c8_d,799867,4775,6607,8835,
161,sat_manol_c8,538096,19702,29123,34891,
162,sat_manol_c8_p,269048,15769,25336,40476,
163,sat_manol_g10_i_d,792175,4467,7299,14821,
164,sat_manol_g10_i,532810,14659,16955,23296,
165,sat_manol_g10_i_p,266405,14553,31092,28801,
166,sat_MD5-28-1_d,62558,1200,2069,2467,
167,sat_MD5-28-1,16564,4881,8099,10232,
168,sat_MD5-28-1_p,8282,4344,7563,8860,
169,sat_MD5-28-2_d,62554,1182,2111,2372,
170,sat_MD5-28-2,16562,4283,8270,9779,
171,sat_MD5-28-2_p,8281,4722,7674,10458,
172,sat_MD5-28-4_d,62544,1485,2109,2797,
173,sat_MD5-28-4,16562,4719,7662,10114,
174,sat_MD5-28-4_p,8281,4593,7204,9238,
175,sat_MD5-29-4_d,65312,1333,2180,2771,
176,sat_MD5-29-4,17180,4354,9485,10025,
177,sat_MD5-29-4_p,8590,5177,8700,10332,
178,sat_MD5-30-4_d,68106,1286,2186,2659,
179,sat_MD5-30-4,17810,5686,9087,11335,
180,sat_MD5-30-4_p,8905,4933,12374,10603,
181,sat_MD5-30-5_d,68103,1368,2303,2569,
182,sat_MD5-30-5,17810,4865,9425,11029,
183,sat_MD5-30-5_p,8905,5377,11003,11211,
184,sat_min_d,746444,2462,9103,14851,
185,sat_min,498653,4353,28151,40261,
186,sat_min_p,249327,4753,34540,44676,
187,sat_p30_d,1643601,3934,4519,8682,
188,sat_p30,643132,9572,19210,21870,
189,sat_p30_p,324116,10280,26781,23973,
190,sat_p30_NOT_d,483561,3322,7936,7258,
191,sat_p30_NOT,189412,4381,11027,13519,
192,sat_p30_NOT_p,95456,9661,14638,19483,
193,sat_non_p30_d,1643601,3934,4519,8682,
194,sat_non_p30,643132,9572,19210,21870,
195,sat_non_p30_p,324116,10280,26781,23973,
196,sat_post_d,1607567,3089,4788,7895,
197,sat_post,553559,6388,4488,8127,
198,sat_post_p,276895,1983,7466,4886,
199,sat_post-ee_d,1575975,1071,2739,3467,
200,sat_post-ee,532170,4820,4723,6462,
201,sat_post-ee_p,266199,3935,6041,11318,
202,sat_L100_d,1522583,34018,52574,66747,
203,sat_L100,631234,73400,99003,168166,
204,sat_L100_p,315617,76911,155502,181716,
205,sat_L150_d,2456708,51562,77537,95655,
206,sat_L150,973984,121741,189453,256302,
207,sat_L150_p,486992,182673,258778,316389,
208,sat_L200_d,3513333,72996,112992,152427,
209,sat_L200,1341734,166731,315631,394223,
210,sat_L200_p,670867,252687,383894,404742,
211,sat_L80_d,1183233,27383,46878,54725,
212,sat_L80,501134,87441,111688,137442,
213,sat_L80_p,250567,61474,124830,142953,
214,sat_k100_1d,6356704,1305,2858,3154,
215,sat_k100_1,3195850,4510,8760,15953,
216,sat_k100_1p,1621762,4439,5939,19046,
217,sat_k100_2d,6356692,1264,2391,2863,
218,sat_k100_2,3195838,4987,8003,9644,
219,sat_k100_2p,1621756,7221,12541,16699,
220,sat_k70_d,4433524,701,2035,3096,
221,sat_k70,2229790,4573,7593,9172,
222,sat_k70_p,1131652,5078,12319,14253,
223,sat_k75_d,4754042,1285,2166,2896,
224,sat_k75,2390788,3945,8227,11515,
225,sat_k75_p,1213331,3118,7402,8640,
226,sat_k80_d,5074584,730,3866,2764,
227,sat_k80,2551810,3452,9336,7579,
228,sat_k80_p,1295022,4676,11670,11974,
229,sat_k85_2d,5395102,1399,2865,4145,
230,sat_k85_2,2712808,6287,8275,12602,
231,sat_k85_2p,1376701,3019,7256,12187,
232,sat_k85_3d,5395102,1422,2209,3755,
233,sat_k85_3,2712808,6287,8275,12602,
234,sat_k85_3p,1376701,3019,7256,12187,
235,sat_k90_d,5715644,919,2259,5136,
236,sat_k90,2873830,1472,4918,8814,
237,sat_k90_p,1458392,6670,7119,17083,
238,sat_k95_d,6036162,919,2979,3287,
239,sat_k95,3034828,6761,13177,15114,
240,sat_k95_p,1540071,4954,11569,11473,
241,sat_slp_d,302862,3209,6915,9209,
242,sat_slp,189996,5464,10630,23264,
243,sat_slp_p,94998,8298,9037,22928,
244,sat_030_d,1934720,5352,16678,20455,
245,sat_030,705500,14025,27733,45007,
246,sat_030_p,361750,15640,42757,50696,
247,sat_050_d,3224280,5854,11382,26253,
248,sat_050,1175340,13197,53825,55289,
249,sat_050_p,602670,73378,84488,148662,
250,sat_UCG-10p0_d,1005834,2598,5431,7013,
251,sat_UCG-10p0,398608,18806,27992,26087,
252,sat_UCG-10p0_p,199304,21320,31644,36608,
253,sat_UCG-10p1_d,1019221,1880,4097,5426,
254,sat_UCG-10p1,400006,14758,19526,25240,
255,sat_UCG-10p1_p,200003,19311,24630,29437,
256,sat_UCG-5p0_d,1190673,4278,6304,9096,
257,sat_UCG-5p0,449174,19662,27789,30402,
258,sat_UCG-5p0_p,224587,22674,36088,40154,
259,sat_UR-15_d,1019200,3415,7367,9228,
260,sat_UR-15,399992,20703,24431,27751,
261,sat_UR-15_p,199996,24378,30183,40237,
262,sat_UR-20_d,1190619,4498,8157,13431,
263,sat_UR-20,449138,18080,26821,30857,
264,sat_UR-20_p,224569,29765,38259,44355,
265,sat_UTI_d,1391257,336,1075,1573,
266,sat_UTI,520684,2429,5711,6949,
267,sat_UTI_p,260342,5909,7134,7848,
268,sat_2.0_d,2465731,27639,32780,43806,
269,sat_2.0,303338,86725,270039,321533,
270,sat_2.0_p,151669,122396,300890,292578,
271,sat_4.0-9_d,1814189,13874,26287,41455,
272,sat_4.0-9,192354,103063,216768,208540,
273,sat_4.0-9_p,96177,145333,264618,404854,
274,192bit,13682,12787,20011,25673,
275,2cubes,101492,5310,13236,18590,
276,2D,54019,2328,3680,3822,
277,3D,292008,29313,58450,80138,
278,ABACUS,23412,673,697,1066,
279,af23560,23560,1018,3411,3254,
280,af_shell,504855,5060,6240,9200,
281,airfoil,14214,715,671,1452,
282,Andrews,60000,6552,11630,12798,
283,appu,14000,13983,27984,41943,
284,as-22,22963,1257,2112,2676,
285,astro,16706,4174,8678,11735,
286,atmos,1270432,54467,80436,98318,
287,av41092,41092,4744,3288,8080,
288,barrier,113076,12467,17662,24790,
289,Baumann,112211,3023,7274,8542,
290,bayer04,20545,85,203,284,
291,bbmat,38744,2088,4392,5029,
292,bcsstk,13992,754,1098,2438,
293,Ben,245874,2796,6984,8034,
294,bibd,18424,1003,1825,2596,
295,bips,15066,192,368,466,
296,bloweya,30004,6554,9683,10454,
297,bundle,10581,3677,4379,6011,
298,c-55,32780,7101,14529,16485,
299,c-61,43618,6897,10741,12001,
300,c-64,51035,990,5789,14485,
301,CondMat,23133,5669,10082,13516,
302,cage10,11397,2491,5396,6767,
303,ccc,49152,621,6084,8107,
304,cfd,70656,3961,6278,9530,
305,Chem97Zt,31022,61,41,63,
306,circuit,12127,1882,2968,3996,
307,ckt,49702,176,2616,2459,
308,cnr,325557,57,431,438,
309,conf5_4,49152,0,9441,16110,
310,copter,17222,1156,2150,3883,
311,coupled,11341,2549,3818,5409,
312,crash,160000,4284,13212,8244,
313,cryg,10000,822,453,1082,
314,crystk,13965,2460,4059,6123,
315,d_pretok,182730,3717,7965,12772,
316,dac11,952507,2550,4921,6859,
317,dac14,630802,23141,29506,30854,
318,dac16,698339,18496,20895,25006,
319,dac2,1010321,7982,22459,17860,
320,dac3,917944,3867,7461,20085,
321,dac6,1011662,22564,21898,33105,
322,dac7,1360217,2631,6639,10755,
323,delta,21961,674,3023,5799,
324,denormal,89400,1272,2874,3690,
325,dict,52652,0,817,2951,
326,diel,607232,20114,23298,38654,
327,cova2,65025,1217,2735,4194,
328,ecl32,51993,2045,5609,6060,
329,Emilia,923136,40923,67782,84078,
330,epb1,14734,468,570,930,
331,ESOC,37830,171727,293318,406258,
332,Eternity,150638,6398,12630,17002,
333,ex19,12005,0,593,360,
334,F2,71505,1626,3372,6258,
335,fd18,16428,772,895,1152,
336,fem,74062,5771,8141,12445,
337,finan,74752,156,447,407,
338,flower,67593,5204,9873,13285,
339,foldoc,13356,7360,13266,17234,
340,Franz,30144,25297,49398,57412,
341,G2,150102,3509,4972,7618,
342,g7jac,11790,1387,2004,2296,
343,garon,13535,818,1656,1950,
344,gearbox,153746,2803,4481,8846,
345,gemat,10595,1749,1550,2191,
346,graphics,11822,558,1146,1362,
347,gyro,17361,321,1095,1032,
348,H2O,67024,15071,30889,44322,
349,HEP,27240,4411,13602,15340,
350,HTC,226340,1983,8955,16291,
351,hvdc1,24842,113,285,504,
352,IG5,27944,3158,4021,21532,
353,Ill,20896,2135,3031,4303,
354,interp,120000,5050,5074,6683,
355,IMDB,896308,25333,81631,79112,
356,ibm01,12752,303,673,1022,
357,ibm02,19601,520,591,1643,
358,ibm03,23136,1568,2630,3725,
359,ibm04,27507,825,1902,2944,
360,ibm05,29347,2372,5267,5974,
361,ibm06,32498,1758,3465,4162,
362,ibm07,45926,1942,2956,4006,
363,ibm08,51309,2236,4522,5685,
364,ibm09,53395,1128,2770,3139,
365,ibm10,69429,2049,2847,4085,
366,ibm11,70558,1447,2947,4377,
367,ibm12,71076,4194,4361,7276,
368,ibm13,84199,1652,2035,3475,
369,ibm14,147605,3099,6008,6207,
370,ibm15,161570,3981,10250,8367,
371,ibm16,183484,5649,5564,8922,
372,kim1,38415,1599,2836,4582,
373,kkt,2063494,19606,32794,47095,
374,duct3D,67173,6182,8212,14654,
375,lhr14,14270,174,570,372,
376,li,22695,4418,7864,13990,
377,tissue,29282,2048,1320,2622,
378,Lin,256000,23462,27635,37088,
379,lp_nug,72600,12825,24958,33175,
380,lp_pds,108175,2458,4278,4861,
381,lung,109460,54,93,108,
382,m14b,214765,4688,9346,12702,
383,mac,206500,750,1104,1963,
384,Maragal,10152,2743,4825,6472,
385,mc2depi,525825,3150,11084,7680,
386,mixtank,29957,4606,12718,12029,
387,mono,169410,19333,19810,41920,
388,mri1,147456,708,1194,1452,
389,msc,10848,2151,3975,5976,
390,msdoor,415863,2324,4837,7742,
391,mult_dcop,25187,15056,24907,29215,
392,nasasrb,54870,1050,2590,3332,
393,nd12k,36000,15911,27813,44588,
394,net100,29920,17473,34831,47225,
395,nopoly,10774,102,164,282,
396,actors,127823,12372,26343,28826,
397,www,325729,13,796,732,
398,obstclae,40000,1980,2234,2461,
399,olafu,16146,1029,2164,2601,
400,opt1,15449,2743,6416,7072,
401,Oregon,11492,696,1027,1632,
402,p2p,22687,3767,6925,9286,
403,para,153226,12158,18113,25525,
404,parabolic,525825,1353,5367,4963,
405,Pd,12406,0,0,0,
406,pdb,36417,2940,5243,7004,
407,pds,475448,1840,6166,8467,
408,pesa,11738,186,417,475,
409,PGP,10680,665,1195,1420,
410,pkustk,87804,3918,8094,11694,
411,poisson3D,85623,5452,11945,15288,
412,poli3,16955,170,292,525,
413,powersim,15838,92,164,296,
414,pre2,659033,10846,27617,31279,
415,Pres,14822,1056,1586,2426,
416,psse2,11028,364,558,500,
417,qa8fk,66127,968,5067,8425,
418,rajat,51032,40,241,327,
419,Reuters,13332,5794,10164,14296,
420,RFdevice,74104,2157,5568,7543,
421,rgg,262144,1584,2525,3422,
422,rim,22560,544,2111,1817,
423,rma,46835,1190,1481,3073,
424,Rucci,109900,61355,93172,120153,
425,s4dkt,90449,5430,4560,7902,
426,scfxm,65943,1105,1566,1867,
427,scircuit,170998,213,469,978,
428,shallow,81920,794,1753,2119,
429,sherman,18510,7025,10648,15385,
430,ship,34920,3120,2772,7518,
431,shock,36476,407,1206,1581,
432,shyy,76480,350,330,2830,
433,skirt,12598,60,172,110,
434,sme3D,29067,4071,2613,9741,
435,soc-sign,131828,1465,11124,12309,
436,sparsine,50000,20615,43836,54507,
437,spmsrtls,29995,1222,1688,2510,
438,std1_Jac3,21982,5132,7070,11441,
439,stokes,49666,1306,3526,3277,
440,ted_A,10605,324,979,986,
441,TF16,19321,5448,12492,17831,
442,thermal,82654,458,682,1903,
443,therm,102158,927,828,2105,
444,tmt,917825,2414,9638,7389,
445,tomogra,59498,3752,8367,8312,
446,torso,259156,8162,19201,18444,
447,Trec,15905,3126,0,0,
448,Trefe,20000,17867,36113,48429,
449,TSOPF,30798,14565,17207,27709,
450,us04,28016,150,292,440,
451,usroads,129164,244,412,792,
452,venkat,62424,1008,1816,2160,
453,vibro,12328,3734,8329,9840,
454,plastic,32769,1760,3193,4508,
455,rocks,37762,624,2002,3074,
456,wave3D,21036,769,1467,2401,
457,wathen120,36441,929,1791,2726,
458,water,60740,4670,7363,9952,
459,wang4,26068,2637,3410,5731,
460,xenon,157464,4499,8086,11236,
461,Zhao,33861,1862,2537,3253,
462,G67,10000,26,470,505,
463,af101,503625,7555,12435,14710,
464,eco1,1000000,12769,12698,20832,
465,ibm18,210613,4280,5440,8023,
466,ibm17,185495,3080,7592,8568,
467,web1M,1000005,624,3603,3556,
468,nl120,3542400,163619,217697,331005,
469,sat_p,521147,380404,732566,1873473,
470,wbedu,9845725,10773,87327,101076,
471,Stanf,281903,458,737,1692,
472,gene2,14340,13538,25111,40135,
473,Hamr3,1447360,5866,8104,10982,
474,StocF,1465137,7992,34392,24001,
475,lang,399130,36457,48022,59649,
476,kron,65536,23448,46574,64475,
477,case39,40216,21585,29355,41702,
478,dac9,844332,5515,6259,7688,
479,dac12,1291931,11652,26113,20304,
480,dac19,522482,3273,14217,12304,
481,tran4,116835,70442,102461,132651,
482,Cheb4,68121,16457,18107,22149,
483,sat_d,13378010,116709,89105,193468,
484,HV15R,2017169,144273,229946,373591,
485,gupta2,62064,18901,39008,58327,
486,ASIC,682862,349787,563231,114520,
487,ASIC320k,321821,193362,336301,388631,
488,wiki-Talk,2394385,15309,20358,31438,
489,com-Youtube,1134890,83205,176457,223109,
490,Freescal,3428755,2810,4235,5514,
491,roadNet-CA,1971281,866,1883,1996,
492,delaunay23,8388608,9679,18923,21249,
493,coPapersDBLP,540486,194369,377862,531552,
494,dc1,116835,70442,102461,132651,
495,channel,4802000,58886,106523,194389,
496,as-Skitter,1696415,224486,394344,465619,
497,ASIC_100k,99340,50699,84464,105272,
498,dc2,116835,70442,102461,132651,
499,tran5,116835,70442,102461,132651,
